Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,18,18,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),22,1898,1939,7.3,7.3
Personal,Visitors,Trip Start,18,18,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),21,1726,1840,5.3,5.8
Personal,Visitors,Trip Start,18,18,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),67,1569,1745,6.5,6.6
Personal,Visitors,Trip Start,18,18,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),6,1341,1426,4.4,4.3
Personal,Visitors,Trip Start,18,18,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),24,1605,1909,7.5,7.8
Personal,Visitors,Trip Start,18,18,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),17,1672,1809,7.5,7.4
Personal,Visitors,Trip Start,18,18,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),19,1498,1592,4.9,5.2
Personal,Visitors,Trip Start,19,19,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),63,1835,1914,7.8,8.1
Personal,Visitors,Trip Start,19,19,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,2049,2530,10.3,13.2
Personal,Visitors,Trip Start,19,19,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),1,2516,2516,13.0,13.0
Personal,Visitors,Trip Start,19,19,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),20,1774,1914,7.2,7.9
Personal,Visitors,Trip Start,19,19,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),27,1912,1975,7.9,8.1
Personal,Visitors,Trip Start,19,19,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),14,1719,1729,7.8,7.9
Personal,Visitors,Trip Start,19,19,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),62,1840,1927,7.9,8.3
Personal,Visitors,Trip Start,19,19,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),0,2049,2049,10.3,10.3
Personal,Visitors,Trip Start,19,19,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),1,2297,2297,13.4,13.4
Personal,Visitors,Trip Start,19,19,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),21,1799,1966,7.4,8.4
Personal,Visitors,Trip Start,19,19,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),27,1972,2036,8.2,8.4
Personal,Visitors,Trip Start,19,19,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),13,1610,1610,7.5,7.5
Personal,Visitors,Trip Start,19,19,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),63,1821,1883,7.5,7.7
Personal,Visitors,Trip Start,19,19,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,0,3253,0,17.5
